categoria,Pregunta,Opcion1,Opcion2,Opcion3,Opcion4,Respuesta
Cultura y Arte,Resistencia es conocida como:,Ciudad Museo,La ciudad de las esculturas,Ciudad Capital,Capital Nacional de Algodon,Option2
Cultura y Arte,¿Cuantas esculturas hay en Resistencia?,600,500,200,700,Option1
Cultura y Arte,Por Decreto N° 1491 el Gobierno de la Provincia del Chaco se declaro a un instrumento musical como Patrimonio Cultural de la provincia del Chaco.¿Cual es?,Rabé,Charango,Acordeoon,N'vike,Option4
Cultura y Arte,La palabra Chacu del cual deriva el nombre de nuestra provincia tenia un significado. ¿Cual era?,Caza comunal de animales,Nombre de un árbol que abunda en la región,Nombre de un animal,Nombre de una planta caracteristica,Option4
Cultura y Arte,En la bandera del Chaco hay un arado rodeado de 25 estrellas. ¿Qué representan?,Los departamentos provinciales,Las ciudades principales,Los rios que cruzan la provincia,Grandes personajes que forzaron Chaco,Option1
Cultura y Arte,¿Cual es la flor provincial del Chaco?,Flor del cardo,Flor Peñarol,Flor del Ceibo,Flor rosada del palo borracho,Option4
Cultura y Arte,Un conjunto coral chaqueño fue reconocido como Patrimonio Cultural Viviente. ¿Cual es?,El coro Chelaalapí,El coro Qom,El coro polifónico de Resistencia,El coro de niños,Option1
Cultura y Arte,La patrona de Barranqueras es:,Virgen de Luján,Inmaculada Concepción de la Virgen María,Virgen de Itatí,Virgen de Lourdes,Option2
Cultura y Arte,El Patrono de la ciudad de Resistencia es:,Virgen de Itatí,San Fernando Rey,El arzobispo Fabricio,El Cura Brochero,Option2
Cultura y Arte,En Las Palmas se puede recorrer:,Las termas,Reserva Natural Los Chaguares,Las ruinas del Ingenio Azucarero,Parque Nacional El Impenetrable,Option3
Cultura y Arte,Campo del Cielo es reconocido por:,Capital de los Inmigrantes,Ciudad de las Esculturas,La Termal,Museo a cielo abierto de meteoritos,Option4
Historia,¿Quién fue el primer gobernador del Territorio Nacional del Chaco?,Gral. Julio de Vedia,Gral. Lorenzo Winter,Jorge Capitanich,Gral. Antonio Dónovan,Option1
Historia,En 1939 es erigida la Diócesis de Resistencia. ¿Quién fue el primer obispo?,Enrique Rau,Gabriel Grotti,José Alumni,Nicolás de Carlo,Option4
Historia,El Puente General Belgrano que une las provincias de Chaco y Corrientes se terminó de construir en:,1976,1973,1974,1975,Option3
Historia,¿Quién fue el primer gobernador de la Provincia del Chaco?,Deolindo Bittel,Danilo Baroni,Claudio Ortega,Felipe Gallardo,Option4
Historia,¿Desde cuándo existe la Provincia del Chacú,8 de Agosto de 1951,8 de Agosto de 1953,8 de Agosto de 1955,8 de Agosto de 1958,Option1
Historia,Nuestras primeras poblaciones originarias pertenecían a las etnias:,Qom,Guaná,Sanapaná,Guaraníes,Option1
Historia,La primera ciudad colonial del Chaco fue:,Esteco,Sáenz Peña,San Fernando del Río Negro,Concepción del Bermejo,Option4
Historia,San Fernando del Río Negro fue una:,Revolución Imperial del Ferrocarril,Misión franciscana,Ciudad española,Reducción de los jesuitas,Option4
Historia,¿Qué reducciones franciscanas se fundaron en el actual territorio del Chaco a finales del siglo XVIII?,San Carlos del Timbo,Villa Occidental,Nuestra Señora de los Dolores de la Cangaye,San Bernardo de Vértiz,Option3
Historia,La Gobernación del Chaco se creó en:,1900,1862,1810,1832,Option2
Historia,La llegada de los inmigrantes se dio a raíz de:,Ley 456 de 1864,Ley Avellaneda sancionada en 1876,Ley 28 de Bartolomé Mitre,Ley 576 de 1872,Option2
Historia,Nuestra primera constitución se promulgó en:,1951,1994,1912,1862,Option1
Geografía,¿En qué sectores se divide geográficamente la provincia del Chaco?,Litoral Chaque?o, centro Chaque?o e Impenetrable Chaqueño, Litoral Chaqueño e Impenetrable Chaqueño ,Chaco Boreal y Chaco Austral,Norte Chaqueño,Option1
Geografía,Campo del Cielo: Patrimonio Cultural y Turístico del Chaco ¿Dónde se ubica?,Maipú,Bermejo,12 de Octubre,Chacabuco,Option3
Geografía,Al norte el límite natural establecido entre la Provincia de Chaco y Formosa es:,Pilcomayo,Bermejo,Paraná,Río Muerto,Option2
Geografía,Al sur el límite establecido entre la Provincia del Chaco y Santa Fe es:,Paralelo 28,Paralelo 30,Paralelo 29,Paralelo 27,Option3
Geografía,La superficie total de la provincia del Chaco es de:,99.633 Km2,32.565 Km2,29.900 Km2,32.580 Km2,Option1
Geografía,La población actual del Chaco oscila entre:,10,25,20,10,11,Option1
Geografía,¿Cuántas rutas nacionales recorren la provincia?,5,4,9,3,Option4
Geografía,La Ruta Nacional 16 recorre entre:,Entre Santa Silvina y Resistencia,Parque Nacional El Impenetrable,Parque Nacional Iberá,Parque Nacional Sáenz Peña ,Option3
Geografía,¿Qué curso de agua se encuentra emplazado entre la provincia del Chaco y Formosa?,Río Pilcomayo,Río Bermejo,Río Negro,Río Paraná,Option3
Geografía,El relieve del Chaco característico es:,Montaña,Llanura,Sierra,Meseta,Option2
Geografía,Entre los ríos autóctonos del Chaco se encuentran:,Paraná,Oro,Tragadero,Guaycurú,Option3
Geografía,Juan José Castelli es considerada como:,Portal del Impenetrable ,Perla del Paraná ,Ciudad Mesopotámica,Ciudad de las Esculturas,Option4
Geografía,En el municipio de Colonia Benítez se encuentra:,Estación Experimental Agropecuaria del INTA ,Museo a cielo abierto ,Jardín Schulz,Museo Casa y Jardín Schulz ,Option4
Geografía,En Presidencia Roque Sáenz Peña se encuentra:,Parque Maipú,Complejo Termal,Museo Casa y Jardín Schulz,Complejo Tecnológico y Biológico ,Option2
Deportes y Entretenimiento,En el ámbito automovilístico deportivo Chaco tiene un exponente a nivel nacional e internacional. ¿Quién es?,Gabriel Pachelli,Juan Manuel Silva,Giorgio Carrara,Marcos Siebert,Option2
Deportes y Entretenimiento,En el ámbito de los juegos olímpicos el Chaco tiene un medallista en:,Básquet ,Fútbol ,Hockey,Jockey,Option3
Deportes y Entretenimiento,La chaqueña Marcela Gómez participó en los Juegos Olímpicos de Tokio en:,Atletismo,Remo,Natación,Salto,Option1
Deportes y Entretenimiento,El club de fútbol más antiguo del Chaco es:,For Ever,Sarmiento,Don Orione,Monserrat,Option2
Deportes y Entretenimiento,La ciudad de las Breñas logró jugar en el Campeonato Argentino de Clubes en:,Baloncesto ,Fútbol ,Natación ,Tiro,Option4
Deportes y Entretenimiento,En Isla del Cerrito se realiza la:,Fiesta del Dorado,Fiesta del Suburí,Fiesta del Moncholo,Fiesta del Cachivache,Option1
Deportes y Entretenimiento,La Fiesta Provincial del Inmigrante se realiza en:,Castelli  ,Las Breñas ,Puerto Tirol,Pinedo,Option2
Deportes y Entretenimiento,El Festival Nacional Taninero se desarrolla en:,Charata ,Gancedo ,Puerto Vilelas,Puerto Tirol,Option4
Deportes y Entretenimiento,La Fiesta Provincial del Chivo se desarrolla en:,Pampa del Infierno,Castelli,Pampa del Indio,Pampa del Pingo,Option3
Deportes y Entretenimiento,La Fiesta Nacional del Algodón se desarrolla en:,Hermoso Campo ,Quitilipi ,Presidencia Roque Sáenz Peña ,Sausalito,Option3
Deportes y Entretenimiento,La Feria de Artesanía Aborigen Chaqueña se realiza en:,Quitilipi ,Fontana ,Charata,Las Breñas,Option1
Educación,El ex ferrocarril General Belgrano conectaba a:,Puerto de Barranqueras con Salta,Puerto de Barranqueras con Formosa,Puerto de Barranquera con Santiago del Estero,Puerto de Barranquera con Corrientes,Option2
Educación,La producción destacada chaqueña que perdura en la memoria y por la cual se la reconoce a la provincia fue:,Caña de azúcar,Producción de tanino,Cosecha de agua,Algodón,Option4
Educación,A inicios del siglo XX la actividad económica más importante del territorio era:,Pesca,Sequía,Algodón,Caza,Option3
Educación,Las localidades algodoneras fueron:,Resistencia ,Margarita Belén,Quitilipi ,Machagai,Option3
Educación,El tanino se desarrolló en:,Vicentini,La Verde,La Escondida,Resistencia,Option1
Educación,Un escritor chaqueño recibió el Premio Pionero de la Letras Chaqueñas otorgado por la provincia del Chaco y la SADE local en 1985. ¿Quién fue?,Tony Zalazar,Aledo Luis Meloni,Evaristo Paz,Tete Romero,Option2
Educación,Las Reservas Naturales del Chaco son:,Reserva algodonera,Parque Provincial Coballo Caminante,Campo del Cielo d. Villa Río Bermejito,Reserva Natural Provincial Fuerte Esperanza,Option4
